TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-12 13:53:40,1770904420758,the-crown-i-will-take-from-you.vercel.app/api/auth/refresh,POST,,401,vkfx4-1770904420402-f63cb70cacaa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",info,production,main,MISS,function,/api/auth/refresh,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,,,,,"{""level"":40,""time"":1770904420757,""env"":""production"",""userId"":""286c3023-69f6-4646-8b92-8b4bed1a4133"",""siteId"":3,""jti"":""L8pwLPllfkft8Al87x3Zt"",""msg"":""Session not found or expired""}",prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,,,
2026-02-12 13:53:40,1770904420758,the-crown-i-will-take-from-you.vercel.app/api/auth/refresh,POST,,401,vkfx4-1770904420402-f63cb70cacaa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",info,production,main,MISS,function,/api/auth/refresh,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,,,,,"{""level"":50,""time"":1770904420758,""env"":""production"",""message"":""Session expired"",""code"":""SESSION_EXPIRED"",""status"":401,""msg"":""API Error""}",prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,,,
2026-02-12 13:53:40,1770904420402,the-crown-i-will-take-from-you.vercel.app/api/auth/refresh,POST,,401,vkfx4-1770904420402-f63cb70cacaa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",,production,main,MISS,middleware,middleware,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,6,sin1,124,2048,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,01KH92202W7H4HS3M0D7MQPCDG,xIJmHvCzZLcO,1
2026-02-12 13:53:40,1770904420402,the-crown-i-will-take-from-you.vercel.app/api/auth/refresh,POST,,401,vkfx4-1770904420402-f63cb70cacaa,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1",,production,main,MISS,function,/api/auth/refresh,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,176,iad1,290,2048,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,01KH92206WRNSHGB1M8Q6J6M2W,aRfMk8u6ocXQ,1
2026-02-12 13:53:27,1770904407213,the-crown-i-will-take-from-you.vercel.app/manifest.json,GET,,304,cmc8d-1770904407213-7cebdfd44b4c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,,middleware,middleware,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,6,sin1,124,2048,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,01KH921K62A8PNXKC76BDJ0ZSC,xIJmHvCzZLcO,1
2026-02-12 13:53:27,1770904407213,the-crown-i-will-take-from-you.vercel.app/manifest.json,GET,,304,cmc8d-1770904407213-7cebdfd44b4c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,,static,/manifest.json,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,36,sin1,,,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,,,
2026-02-12 13:53:27,1770904407185,the-crown-i-will-take-from-you.vercel.app/chapters/121-the-dawns-droplet.html,GET,,200,w8km7-1770904407185-af0cf3ca9b27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,9,sin1,120,2048,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,01KH921K4VCP1MS8A5XTYGPV6G,j2zEKq6Y9eLE,1
2026-02-12 13:53:27,1770904407185,the-crown-i-will-take-from-you.vercel.app/chapters/121-the-dawns-droplet.html,GET,,200,w8km7-1770904407185-af0cf3ca9b27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,static,/chapters/121-the-dawns-droplet.html,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,335,sin1,,,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,,,
2026-02-12 13:53:27,1770904407184,the-crown-i-will-take-from-you.vercel.app/chapters/120-the-puppeteers-strings.html,GET,,200,6jwpq-1770904407184-ef988855070b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,middleware,middleware,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,6,sin1,124,2048,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,01KH921K4X9N9WJWGMT17JCKM3,xIJmHvCzZLcO,1
2026-02-12 13:53:27,1770904407184,the-crown-i-will-take-from-you.vercel.app/chapters/120-the-puppeteers-strings.html,GET,,200,6jwpq-1770904407184-ef988855070b,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36",,production,main,HIT,static,/chapters/120-the-puppeteers-strings.html,the-crown-i-will-take-from-you.vercel.app,the-crown-i-will-take-from-7u8o1lddv.vercel.app,dpl_BwpawyiyvwAdGH3GjX9TQhzNxWFH,33,sin1,,,,prj_qrokoMwAntOhRUhoe34RWPVyZ6hz,,,,,
